continent,country,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,outdoor,acc_case,acc_death,new_case,new_death,continent_marker
Asia and Oceania,United Arab Emirates,2020-05-17,-52.142857142857146,-21.714285714285715,-68.14285714285714,-62.142857142857146,-39.57142857142857,26.0,-48.74285714285715,21117.85714285714,208.85714285714286,737.1428571428571,3.142857142857143,1.0041206068630084
Asia and Oceania,United Arab Emirates,2020-05-24,-52.857142857142854,-22.0,-69.57142857142857,-64.0,-46.857142857142854,27.714285714285715,-51.057142857142864,26890.85714285714,235.85714285714286,875.2857142857143,3.5714285714285716,0.990675004418642
Europe,United Kingdom,2020-02-16,-9.5,-6.5,-31.5,-9.5,-3.5,1.5,-12.1,9.0,0.0,4.5,0.0,4.042678465799866
Europe,United Kingdom,2020-02-23,4.0,-1.2857142857142858,7.714285714285714,-2.2857142857142856,-10.571428571428571,2.0,-0.48571428571428577,9.0,0.0,0.0,0.0,3.8991596159087103
Europe,United Kingdom,2020-03-01,1.1428571428571428,1.1428571428571428,-0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.3428571428571429,19.0,0.0,3.857142857142857,0.0,3.875526488919693
Europe,United Kingdom,2020-03-08,2.2857142857142856,3.142857142857143,10.285714285714286,-0.5714285714285714,0.8571428571428571,0.14285714285714285,3.2,133.28571428571428,0.7142857142857143,33.857142857142854,0.2857142857142857,3.9322634362952584
Europe,United Kingdom,2020-03-15,-3.7142857142857144,7.142857142857143,5.0,-8.714285714285714,-1.5714285714285714,1.5714285714285714,-0.3714285714285713,670.4285714285714,15.285714285714286,123.85714285714286,5.857142857142857,3.967655578147965
Europe,United Kingdom,2020-03-22,-27.714285714285715,12.0,8.857142857142858,-35.142857142857146,-22.714285714285715,9.285714285714286,-12.942857142857145,3356.0,164.0,649.0,34.57142857142857,4.01689482134435
Europe,United Kingdom,2020-03-29,-72.42857142857143,-28.571428571428573,-24.0,-67.85714285714286,-58.714285714285715,22.428571428571427,-50.314285714285724,12438.285714285714,960.4285714285714,1977.0,197.71428571428572,3.9979714067908603
Europe,United Kingdom,2020-04-05,-76.71428571428571,-33.285714285714285,-28.428571428571427,-72.14285714285714,-65.42857142857143,24.857142857142858,-55.199999999999996,34051.42857142857,3836.714285714286,4040.5714285714284,599.4285714285714,4.0709776542473834
